ANNEE,REALISE_TOTAL_FRAIS,REALISE_TOTAL_GEL,REALISE_TOTAL_FFL,month_period,dernier_jour_ferie,prochain_jour_ferie,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,Sem Juin,Sem aout,Sem dec,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
1,84675.0,10735.0,19402.0,0,-73,21,22,34,110,37,13,5,49,42,44,8,17,44,24,18,45,21,29,13,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.0,1.0,0.1011683219874327,-0.994869323391895,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,8.088333333333333,8.243333333333334,0,0,0,0,0,0,0,0,0,0,0,0,26,40,33,22,8,15
1,101790.0,10386.0,14864.0,0,-74,20,22,34,114,38,13,5,49,44,46,8,19,46,25,19,47,22,30,14,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.101168321987432,-0.9948693233918952,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,8.801666666666668,8.713333333333333,0,0,0,0,0,0,0,0,0,0,0,0,25,39,32,23,9,16
1,101999.0,12432.0,15377.0,0,-75,19,22,34,114,38,13,5,49,44,46,8,19,46,25,19,47,22,30,14,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,-0.2993631229733582,-0.9541392564000488,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,8.866666666666667,8.315,0,0,0,0,0,0,0,0,0,0,0,0,24,38,31,24,10,17
1,112728.0,11494.0,21239.0,0,-76,18,22,34,114,38,13,5,49,44,46,8,19,46,25,19,47,22,30,14,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,-0.4853019625310808,-0.8743466161445822,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,6.914999999999999,6.621666666666667,0,0,0,0,0,0,0,0,0,0,0,0,23,37,30,25,11,18
1,103957.0,10459.0,25329.0,0,-77,17,22,34,116,39,13,5,50,45,47,8,19,48,26,20,47,22,30,14,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,7.798333333333333,6.951666666666667,0,0,0,0,0,0,0,0,0,0,0,0,22,36,29,26,12,19
1,82008.0,6957.0,17425.0,0,-78,16,22,34,116,39,13,5,50,45,47,8,19,48,26,20,47,22,30,14,24,6,12,8,2,10,5,3,3,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,0.9768483177596008,0.2139330832064975,7.260000000000001,7.245,0,0,0,0,0,0,0,0,0,0,0,0,21,35,28,27,13,20
1,93056.0,12943.0,18753.0,0,-80,14,23,34,104,34,13,5,49,40,41,8,15,42,21,15,24,23,30,14,24,6,12,7,2,12,6,3,2,2,1,0,0,0,0,0.0,1.0,-0.968077118866204,-0.2506525322587213,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,7.080000000000001,6.228333333333334,0,0,0,0,0,0,0,0,0,0,0,0,19,33,26,29,15,22
1,112096.0,11894.0,16288.0,0,-81,13,23,34,112,37,13,5,51,43,45,8,17,46,24,18,44,24,31,15,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.9987165071710528,-0.0506491688387135,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,8.13,7.546666666666667,0,0,0,0,0,0,0,0,0,0,0,0,18,32,25,30,16,23
1,98048.0,12926.0,17098.0,0,-82,12,23,34,112,37,13,5,51,43,45,8,17,46,24,18,44,24,31,15,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,-0.9884683243281114,0.1514277775045766,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,7.666666666666667,7.566666666666667,0,0,0,0,0,0,0,0,0,0,0,0,17,31,24,31,17,24
1,109505.0,10670.0,22189.0,0,-83,11,23,34,112,37,13,5,51,43,45,8,17,46,24,18,44,24,31,15,25,6,12,7,2,12,6,3,2,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,-0.9377521321470804,0.3473052528448203,1.0,6.123233995736766e-17,0.9957341762950344,0.092268359463302,7.916666666666667,7.906666666666666,0,0,0,0,0,0,0,0,0,0,0,0,16,30,23,32,18,25
